  3.000 -0.600  0.000  0.600  1.350  5.569  3.012 100000.  42507.  25778.  0.7672  0.6228 86.2201  3.000 0.00000 0.00000
  3.000 -0.600  0.000  0.600  1.350  5.523  3.023 100000.  42268.  25625.  0.7674  0.6247 86.2189  3.000 0.00000 0.00000
  3.000 -0.600  0.000  0.600  1.350  5.149  3.100 100000.  38037.  23131.  0.7688  0.6575 86.8906  3.000 0.00982 0.00268
  3.000 -0.600  0.000  0.600  1.380  5.570  3.012 100000.  42844.  25789.  0.7672  0.6227 86.1661  3.000 0.00000 0.00000
  3.000 -0.600  0.000  0.600  1.380  5.516  3.024 100000.  42512.  25636.  0.7674  0.6246 86.1497  3.000 0.00000 0.00000
  3.000 -0.600  0.000  0.600  1.380  5.147  3.099 100000.  38327.  23121.  0.7688  0.6577 86.8168  3.000 0.00988 0.00268
  3.000 -0.600  0.000  0.600  1.410  5.569  3.012 100000.  42995.  25796.  0.7672  0.6226 86.1139  3.000 0.00000 0.00000
  3.000 -0.600  0.000  0.600  1.410  5.533  3.018 100000.  42652.  25587.  0.7673  0.6252 86.1158  3.000 0.00000 0.00000
  3.000 -0.600  0.000  0.600  1.410  5.145  3.097 100000.  38384.  23099.  0.7688  0.6580 86.7957  3.000 0.01065 0.00268
  3.000 -0.600  0.000  0.600  1.440  5.557  3.012 100000.  42935.  25707.  0.7672  0.6237 86.1022  3.000 0.00000 0.00000
  3.000 -0.600  0.000  0.600  1.440  5.529  3.030 100000.  42704.  25675.  0.7673  0.6241 86.1177  3.000 0.00000 0.00000
  3.000 -0.600  0.000  0.600  1.440  5.147  3.108 100000.  38390.  23124.  0.7688  0.6576 86.8128  3.000 0.00818 0.00269
  3.000 -0.600  0.000  0.600  1.470  5.564  3.017 100000.  42946.  25791.  0.7672  0.6227 86.1223  3.000 0.00000 0.00000
  3.000 -0.600  0.000  0.600  1.470  5.518  3.024 100000.  42697.  25660.  0.7674  0.6243 86.0955  3.000 0.00000 0.00000
  3.000 -0.600  0.000  0.600  1.470  5.138  3.104 100000.  38372.  23082.  0.7688  0.6582 86.7796  3.000 0.00974 0.00268
  3.000 -0.600  0.000  0.600  1.500  5.538  3.013 100000.  42732.  25615.  0.7673  0.6248 86.0823  3.000 0.00000 0.00000
  3.000 -0.600  0.000  0.600  1.500  5.496  3.029 100000.  42598.  25533.  0.7675  0.6258 86.0632  3.000 0.00000 0.00000
  3.000 -0.600  0.000  0.600  1.500  5.126  3.104 100000.  38214.  23055.  0.7689  0.6586 86.7508  3.000 0.00875 0.00269
  3.000 -0.600  0.000  0.600  1.530  5.466  3.008 100000.  42507.  25224.  0.7676  0.6296 85.9896  3.000 0.00000 0.00000
  3.000 -0.600  0.000  0.600  1.530  5.440  3.026 100000.  42282.  25214.  0.7677  0.6298 86.0089  3.000 0.00000 0.00000
  3.000 -0.600  0.000  0.600  1.530  5.079  3.102 100000.  37965.  22812.  0.7690  0.6621 86.6775  3.000 0.00753 0.00272
  3.000 -0.600  0.000  0.600  1.560  5.346  3.007 100000.  42081.  24590.  0.7680  0.6377 85.8763  3.000 0.00000 0.00000
  3.000 -0.600  0.000  0.600  1.560  5.320  3.026 100000.  41966.  24574.  0.7681  0.6379 85.8689  3.000 0.00000 0.00000
  3.000 -0.600  0.000  0.600  1.560  4.993  3.093 100000.  37602.  22384.  0.7693  0.6684 86.5716  3.000 0.00715 0.00277
  3.000 -0.600  0.000  0.600  1.590  5.204  3.012 100000.  41699.  23790.  0.7686  0.6483 85.7271  3.000 0.00000 0.00000
  3.000 -0.600  0.000  0.600  1.590  5.179  3.024 100000.  41461.  23748.  0.7687  0.6489 85.7331  3.000 0.00000 0.00000
  3.000 -0.600  0.000  0.600  1.590  4.864  3.082 100000.  37128.  21774.  0.7698  0.6777 86.3925  3.000 0.00711 0.00283
  3.000 -0.600  0.000  0.600  1.620  5.023  3.009 100000.  40960.  22619.  0.7692  0.6649 85.5398  3.000 0.00000 0.00000
  3.000 -0.600  0.000  0.600  1.620  4.995  3.019 100000.  40806.  22637.  0.7693  0.6646 85.5501  3.000 0.00000 0.00000
  3.000 -0.600  0.000  0.600  1.620  4.707  3.074 100000.  36526.  20845.  0.7703  0.6926 86.2076  3.000 0.00582 0.00292
  3.000 -0.600  0.000  0.600  1.650  4.801  3.019 100000.  40350.  21212.  0.7700  0.6866 85.3368  3.000 0.00000 0.00000
  3.000 -0.600  0.000  0.600  1.650  4.775  3.026 100000.  40002.  21128.  0.7701  0.6880 85.3124  3.000 0.00000 0.00000
  3.000 -0.600  0.000  0.600  1.650  4.523  3.073 100000.  35834.  19752.  0.7709  0.7115 85.9855  3.000 0.00656 0.00304
